GID_3,NAME_3,NAME_2,NAME_1,n_clusters,n_children,stunting_rate,severe_rate,mean_haz,mean_wealth_q,mean_maternal_edu
RWA.1.1.10_1,Kinyababa,Burera,Amajyaruguru,3.0,28.0,57.142857142857146,21.428571428571434,-2.1896428571428572,2.2142857142857144,4.357142857142857
RWA.1.1.12_1,Nemba,Burera,Amajyaruguru,1.0,6.0,16.666666666666668,16.666666666666668,-1.3550000000000002,3.8333333333333335,10.166666666666666
RWA.1.1.2_1,Butaro,Burera,Amajyaruguru,1.0,7.0,28.571428571428577,0.0,-1.7714285714285711,4.285714285714287,7.42857142857143
RWA.1.1.3_1,Cyanika,Burera,Amajyaruguru,2.0,19.0,36.8421052631579,10.526315789473685,-1.7794736842105265,2.5789473684210527,4.36842105263158
RWA.1.1.4_1,Cyeru,Burera,Amajyaruguru,2.0,16.0,50.0,18.75,-1.9612500000000002,1.75,5.125
RWA.1.1.5_1,Gahunga,Burera,Amajyaruguru,2.0,12.0,58.333333333333336,24.999999999999996,-1.9300000000000004,3.4166666666666665,4.833333333333333
RWA.1.1.6_1,Gatebe,Burera,Amajyaruguru,2.0,17.0,17.647058823529413,5.882352941176471,-1.6258823529411766,1.8235294117647058,3.0588235294117654
RWA.1.1.8_1,Kagogo,Burera,Amajyaruguru,1.0,9.0,55.55555555555556,11.11111111111111,-2.037777777777778,3.111111111111111,5.222222222222221
RWA.1.1.9_1,Kinoni,Burera,Amajyaruguru,2.0,15.0,40.0,13.333333333333334,-1.6506666666666665,3.0,6.133333333333334
RWA.1.2.10_1,Mataba,Gakenke,Amajyaruguru,1.0,6.0,16.666666666666664,0.0,-1.5433333333333332,2.0,2.166666666666666
RWA.1.2.12_1,Mugunga,Gakenke,Amajyaruguru,2.0,11.0,63.63636363636363,9.090909090909092,-2.173636363636364,2.272727272727273,5.0
RWA.1.2.13_1,Muhondo,Gakenke,Amajyaruguru,1.0,5.0,20.0,0.0,-1.338,2.6,3.6
RWA.1.2.14_1,Muyongwe,Gakenke,Amajyaruguru,1.0,6.0,33.333333333333336,0.0,-1.413333333333333,3.5,5.166666666666666
RWA.1.2.16_1,Nemba,Gakenke,Amajyaruguru,2.0,19.0,21.05263157894737,5.2631578947368425,-1.196842105263158,3.0,5.6315789473684195
RWA.1.2.17_1,Ruli,Gakenke,Amajyaruguru,1.0,8.0,12.5,0.0,-1.4275,3.5,7.375000000000001
RWA.1.2.18_1,Rusasa,Gakenke,Amajyaruguru,1.0,7.0,57.14285714285715,14.285714285714288,-2.188571428571429,2.4285714285714293,6.571428571428572
RWA.1.2.1_1,Busengo,Gakenke,Amajyaruguru,1.0,4.0,75.0,25.0,-2.215,1.75,4.0
RWA.1.2.4_1,Gakenke,Gakenke,Amajyaruguru,1.0,5.0,40.0,20.0,-1.8960000000000001,2.8,4.2
RWA.1.2.5_1,Gashenyi,Gakenke,Amajyaruguru,2.0,12.0,50.0,25.0,-2.0341666666666667,2.5,4.666666666666666
RWA.1.2.6_1,Janja,Gakenke,Amajyaruguru,1.0,9.0,33.33333333333333,0.0,-1.6088888888888888,2.333333333333333,5.222222222222222
RWA.1.2.7_1,Kamubuga,Gakenke,Amajyaruguru,1.0,9.0,44.44444444444444,11.11111111111111,-1.7577777777777774,1.6666666666666663,3.888888888888889
RWA.1.2.9_1,Kivuruga,Gakenke,Amajyaruguru,1.0,8.0,37.5,12.5,-1.28375,3.875,4.5
RWA.1.3.10_1,Mukarange,Gicumbi,Amajyaruguru,1.0,5.0,20.0,0.0,-1.222,3.2,7.6
RWA.1.3.11_1,Muko,Gicumbi,Amajyaruguru,1.0,13.0,53.84615384615386,15.384615384615389,-2.0038461538461543,2.153846153846154,3.076923076923077
RWA.1.3.14_1,Nyankenke,Gicumbi,Amajyaruguru,2.0,14.0,28.571428571428566,0.0,-1.6199999999999999,2.4285714285714284,4.857142857142857
RWA.1.3.16_1,Rukomo,Gicumbi,Amajyaruguru,2.0,10.0,40.0,10.0,-1.5010000000000001,2.5,4.2
RWA.1.3.18_1,Rutare,Gicumbi,Amajyaruguru,3.0,18.0,38.888888888888886,16.666666666666664,-2.0566666666666666,2.2222222222222223,4.222222222222222
RWA.1.3.19_1,Ruvune,Gicumbi,Amajyaruguru,1.0,9.0,33.333333333333336,0.0,-1.45,2.666666666666667,3.888888888888889
RWA.1.3.1_1,Bukure,Gicumbi,Amajyaruguru,1.0,12.0,58.33333333333335,8.333333333333336,-2.110833333333334,2.166666666666667,4.083333333333334
RWA.1.3.21_1,Shangasha,Gicumbi,Amajyaruguru,1.0,10.0,30.0,10.0,-1.4799999999999995,2.6,4.5
RWA.1.3.3_1,Byumba,Gicumbi,Amajyaruguru,1.0,10.0,20.0,0.0,-1.017,3.8,7.7
RWA.1.3.6_1,Kageyo,Gicumbi,Amajyaruguru,1.0,7.0,71.42857142857142,14.285714285714286,-2.2328571428571427,2.2857142857142856,4.428571428571429
RWA.1.3.7_1,Kaniga,Gicumbi,Amajyaruguru,1.0,11.0,45.45454545454547,0.0,-1.636363636363637,2.0,3.5454545454545454
RWA.1.3.9_1,Miyove,Gicumbi,Amajyaruguru,1.0,7.0,71.42857142857143,28.571428571428577,-2.271428571428572,1.7142857142857142,3.571428571428572
RWA.1.4.10_1,Musanze,Musanze,Amajyaruguru,2.0,10.0,40.0,20.0,-1.7250000000000003,2.4,4.6
RWA.1.4.11_1,Nkotsi,Musanze,Amajyaruguru,1.0,7.0,57.142857142857146,28.571428571428573,-2.472857142857142,1.857142857142857,4.428571428571428
RWA.1.4.12_1,Nyange,Musanze,Amajyaruguru,1.0,8.0,25.0,0.0,-1.7625,2.2500000000000004,3.125
RWA.1.4.13_1,Remera,Musanze,Amajyaruguru,1.0,4.0,25.0,25.0,-1.7875,1.75,5.5
RWA.1.4.14_1,Rwaza,Musanze,Amajyaruguru,1.0,11.0,72.72727272727272,18.181818181818183,-2.174545454545455,2.9090909090909096,5.909090909090909
RWA.1.4.15_1,Shingiro,Musanze,Amajyaruguru,2.0,16.0,37.5,6.25,-1.38625,3.5,7.375
RWA.1.4.2_1,Cyuve,Musanze,Amajyaruguru,2.0,11.0,9.090909090909092,0.0,-0.5436363636363638,4.909090909090909,12.090909090909092
RWA.1.4.3_1,Gacaca,Musanze,Amajyaruguru,1.0,11.0,54.54545454545457,9.09090909090909,-2.1236363636363635,1.8181818181818172,4.8181818181818175
RWA.1.4.5_1,Gataraga,Musanze,Amajyaruguru,1.0,14.0,64.28571428571426,14.285714285714286,-2.138571428571428,1.7142857142857142,3.5714285714285716
RWA.1.4.6_1,Kimonyi,Musanze,Amajyaruguru,1.0,14.0,71.4285714285714,28.571428571428573,-2.5071428571428567,1.0,7.5
RWA.1.4.7_1,Kinigi,Musanze,Amajyaruguru,1.0,8.0,50.0,25.0,-2.2275,3.0,5.375
RWA.1.4.8_1,Muhoza,Musanze,Amajyaruguru,1.0,6.0,33.33333333333333,16.666666666666664,-1.39,4.833333333333333,11.0
RWA.1.4.9_1,Muko,Musanze,Amajyaruguru,1.0,15.0,53.33333333333334,20.000000000000007,-2.210666666666668,3.466666666666667,5.600000000000002
RWA.1.5.11_1,Murambi,Rulindo,Amajyaruguru,1.0,7.0,28.571428571428573,0.0,-1.5485714285714285,3.4285714285714284,8.142857142857142
RWA.1.5.12_1,Ngoma,Rulindo,Amajyaruguru,1.0,7.0,14.285714285714286,14.285714285714286,-1.5914285714285714,2.2857142857142856,4.571428571428571
RWA.1.5.13_1,Ntarabana,Rulindo,Amajyaruguru,1.0,12.0,25.00000000000001,16.66666666666667,-1.3025000000000004,3.0000000000000004,7.666666666666668
RWA.1.5.15_1,Rusiga,Rulindo,Amajyaruguru,2.0,13.0,15.384615384615385,0.0,-1.3284615384615388,3.3846153846153846,5.538461538461538
RWA.1.5.16_1,Shyorongi,Rulindo,Amajyaruguru,2.0,12.0,0.0,0.0,-0.9133333333333331,4.666666666666667,10.0
RWA.1.5.17_1,Tumba,Rulindo,Amajyaruguru,2.0,16.0,31.250000000000007,12.5,-1.6506249999999998,2.3125,3.937500000000001
RWA.1.5.3_1,Bushoki,Rulindo,Amajyaruguru,2.0,11.0,45.45454545454545,9.090909090909092,-1.8809090909090906,2.3636363636363633,3.8181818181818183
RWA.1.5.5_1,Cyinzuzi,Rulindo,Amajyaruguru,3.0,18.0,33.333333333333336,0.0,-1.6155555555555554,2.8333333333333335,4.666666666666667
RWA.1.5.6_1,Cyungo,Rulindo,Amajyaruguru,1.0,10.0,29.999999999999993,20.0,-1.8990000000000002,3.3999999999999995,5.099999999999999
RWA.1.5.8_1,Kisaro,Rulindo,Amajyaruguru,1.0,5.0,40.0,0.0,-1.384,3.8,8.4
RWA.2.1.10_1,Musha,Gisagara,Amajyepfo,2.0,12.0,33.333333333333336,8.333333333333334,-1.6758333333333333,2.0,2.3333333333333335
RWA.2.1.11_1,Ndora,Gisagara,Amajyepfo,1.0,7.0,0.0,0.0,-0.2642857142857143,4.571428571428571,10.857142857142856
RWA.2.1.12_1,Nyanza,Gisagara,Amajyepfo,1.0,7.0,0.0,0.0,-1.17,2.2857142857142856,3.4285714285714284
RWA.2.1.13_1,Save,Gisagara,Amajyepfo,2.0,15.0,33.333333333333336,13.333333333333334,-1.7786666666666668,3.066666666666667,5.133333333333334
RWA.2.1.1_1,Gikonko,Gisagara,Amajyepfo,1.0,11.0,9.09090909090909,0.0,-0.8118181818181817,3.181818181818181,5.8181818181818175
RWA.2.1.2_1,Gishubi,Gisagara,Amajyepfo,2.0,14.0,50.0,7.142857142857144,-1.602142857142857,1.4285714285714288,2.2857142857142856
RWA.2.1.3_1,Kansi,Gisagara,Amajyepfo,1.0,9.0,22.22222222222222,0.0,-1.501111111111111,2.333333333333333,3.7777777777777777
RWA.2.1.6_1,Mamba,Gisagara,Amajyepfo,2.0,16.0,25.0,6.25,-0.891875,1.6875,2.1875
RWA.2.1.7_1,Muganza,Gisagara,Amajyepfo,2.0,12.0,58.333333333333336,8.333333333333334,-1.8025,1.25,4.333333333333333
