GID_3,sector,district,province,province_en,risk_value,is_high_risk,source,confidence_band,risk_driver_1,risk_driver_2,risk_driver_3,protective_factor
RWA.1.1.10_1,Kinyababa,Burera,Amajyaruguru,Northern Province,0.5714285714285715,1,dhs_measurement_2019_20,measured,,,,
RWA.1.1.12_1,Nemba,Burera,Amajyaruguru,Northern Province,0.16666666666666669,0,dhs_measurement_2019_20,measured,,,,
RWA.1.1.2_1,Butaro,Burera,Amajyaruguru,Northern Province,0.28571428571428575,0,dhs_measurement_2019_20,measured,,,,
RWA.1.1.3_1,Cyanika,Burera,Amajyaruguru,Northern Province,0.368421052631579,1,dhs_measurement_2019_20,measured,,,,
RWA.1.1.4_1,Cyeru,Burera,Amajyaruguru,Northern Province,0.5,1,dhs_measurement_2019_20,measured,,,,
RWA.1.1.5_1,Gahunga,Burera,Amajyaruguru,Northern Province,0.5833333333333334,1,dhs_measurement_2019_20,measured,,,,
RWA.1.1.6_1,Gatebe,Burera,Amajyaruguru,Northern Province,0.17647058823529413,0,dhs_measurement_2019_20,measured,,,,
RWA.1.1.8_1,Kagogo,Burera,Amajyaruguru,Northern Province,0.5555555555555556,1,dhs_measurement_2019_20,measured,,,,
RWA.1.1.9_1,Kinoni,Burera,Amajyaruguru,Northern Province,0.4,1,dhs_measurement_2019_20,measured,,,,
RWA.1.2.10_1,Mataba,Gakenke,Amajyaruguru,Northern Province,0.16666666666666663,0,dhs_measurement_2019_20,measured,,,,
RWA.1.2.12_1,Mugunga,Gakenke,Amajyaruguru,Northern Province,0.6363636363636364,1,dhs_measurement_2019_20,measured,,,,
RWA.1.2.13_1,Muhondo,Gakenke,Amajyaruguru,Northern Province,0.2,0,dhs_measurement_2019_20,measured,,,,
RWA.1.2.14_1,Muyongwe,Gakenke,Amajyaruguru,Northern Province,0.33333333333333337,1,dhs_measurement_2019_20,measured,,,,
RWA.1.2.16_1,Nemba,Gakenke,Amajyaruguru,Northern Province,0.2105263157894737,0,dhs_measurement_2019_20,measured,,,,
RWA.1.2.17_1,Ruli,Gakenke,Amajyaruguru,Northern Province,0.125,0,dhs_measurement_2019_20,measured,,,,
RWA.1.2.18_1,Rusasa,Gakenke,Amajyaruguru,Northern Province,0.5714285714285715,1,dhs_measurement_2019_20,measured,,,,
RWA.1.2.1_1,Busengo,Gakenke,Amajyaruguru,Northern Province,0.75,1,dhs_measurement_2019_20,measured,,,,
